Energy (MeV),Na-22 Counts,Na-22 Relative Error,Co-60 Counts,Co-60 Relative Error,Cs-137 Counts,Cs-137 Relative Error
0.60031,8.99463e-06,0.1054,3.16999e-05,0.0562,1.2e-06,0.2887
0.60226,9.99404e-06,0.1,3.05999e-05,0.0572,2e-06,0.2236
0.60421,9.8941e-06,0.1005,3.29999e-05,0.055,2.9e-06,0.1857
0.60617,9.59427e-06,0.1021,3.12999e-05,0.0565,5.6e-06,0.1336
0.60812,1.01939e-05,0.099,3.32999e-05,0.0548,6e-06,0.1291
0.61007,9.79416e-06,0.101,3.01e-05,0.0576,9.4e-06,0.1031
0.61202,9.8941e-06,0.1005,3.23999e-05,0.0556,1.59e-05,0.0793
0.61397,1.10934e-05,0.0949,3.55999e-05,0.053,2.47e-05,0.0636
0.61593,1.05937e-05,0.0971,3.47999e-05,0.0536,3.76e-05,0.0516
0.61788,1.03938e-05,0.0981,3.42999e-05,0.054,6.47e-05,0.0393
0.61983,9.39439e-06,0.1031,3.43999e-05,0.0539,9.32e-05,0.0328
0.62178,1.08935e-05,0.0958,3.79999e-05,0.0513,0.0001392,0.0268
0.62374,9.39439e-06,0.1031,3.55999e-05,0.053,0.0002226,0.0212
0.62569,1.25925e-05,0.0891,3.70999e-05,0.0519,0.0003311,0.0174
0.62764,1.12933e-05,0.0941,3.87999e-05,0.0508,0.0004903,0.0143
0.62959,1.10934e-05,0.0949,3.60999e-05,0.0526,0.000704,0.0119
0.63154,1.09934e-05,0.0953,3.88999e-05,0.0507,0.0009892,0.01
0.6335,1.11933e-05,0.0945,3.84999e-05,0.051,0.0013801,0.0085
0.63545,8.79475e-06,0.1066,3.84999e-05,0.051,0.0019182,0.0072
0.6374,1.10934e-05,0.0949,3.89999e-05,0.0506,0.0025525,0.0063
0.63935,1.15931e-05,0.0928,4.18999e-05,0.0489,0.0033367,0.0055
0.6413,1.24925e-05,0.0894,3.85999e-05,0.0509,0.004227,0.0049
0.64326,1.01939e-05,0.099,3.71999e-05,0.0518,0.0053151,0.0043
0.64521,1.1693e-05,0.0924,3.96999e-05,0.0502,0.006487,0.0039
0.64716,1.24925e-05,0.0894,4.01999e-05,0.0499,0.007794,0.0036
0.64911,1.1793e-05,0.0921,4.15999e-05,0.049,0.0091322,0.0033
0.65107,1.26924e-05,0.0887,4.30999e-05,0.0482,0.0105538,0.0031
0.65302,1.25925e-05,0.0891,4.14999e-05,0.0491,0.0118013,0.0029
0.65497,1.22927e-05,0.0902,4.43999e-05,0.0475,0.0130144,0.0028
0.65692,1.34919e-05,0.0861,4.73999e-05,0.0459,0.0140033,0.0027
0.65887,1.18929e-05,0.0917,4.32999e-05,0.0481,0.0148005,0.0026
0.66083,1.34919e-05,0.0861,4.47999e-05,0.0472,0.01529,0.0025
0.66278,1.36918e-05,0.0854,4.58999e-05,0.0467,0.0153347,0.0025
0.66473,1.58905e-05,0.0793,4.79999e-05,0.0456,0.015181,0.0025
0.66668,1.40916e-05,0.0842,4.56999e-05,0.0468,0.0145856,0.0026
0.66863,1.669e-05,0.0774,4.24999e-05,0.0485,0.0138746,0.0027
0.67059,1.39917e-05,0.0845,4.92999e-05,0.045,0.0128245,0.0028
0.67254,1.3392e-05,0.0864,4.75999e-05,0.0458,0.0116394,0.0029
0.67449,1.29922e-05,0.0877,5.21999e-05,0.0438,0.0103125,0.0031
0.67644,1.44914e-05,0.083,5.04999e-05,0.0445,0.0089478,0.0033
0.6784,1.39917e-05,0.0845,4.64999e-05,0.0464,0.0075712,0.0036
0.68035,1.59905e-05,0.0791,4.74999e-05,0.0459,0.0062562,0.004
0.6823,1.56906e-05,0.0798,5.14999e-05,0.0441,0.0050728,0.0044
0.68425,1.32921e-05,0.0867,4.82999e-05,0.0455,0.0040579,0.005
0.6862,1.53908e-05,0.0806,4.93999e-05,0.045,0.0031376,0.0056
0.68816,1.52909e-05,0.0808,5.38999e-05,0.0431,0.0024156,0.0064
0.69011,1.32921e-05,0.0867,5.13999e-05,0.0441,0.0017727,0.0075
0.69206,1.48911e-05,0.0819,5.47999e-05,0.0427,0.0012998,0.0088
0.69401,1.43914e-05,0.0833,5.29999e-05,0.0434,0.0009331,0.0103
0.69596,1.65901e-05,0.0776,5.13999e-05,0.0441,0.0006488,0.0124
