Energy (MeV),Co60 Counts,Co60 Normalized,Cs137 Counts,Cs137 Normalized,Na22 Counts,Na22 Normalized
0.62825,0.000127468,0.0012383709633544476,0.0001447,0.0018112676620502498,4.27216e-05,0.0004887098748414212
0.63021,0.000128558,0.0012489604787626783,0.00019939,0.0024958442234706245,4.27011e-05,0.0004884753669476567
0.63216,0.000129021,0.0012534585940232386,0.00026478,0.003314356956169075,4.35748e-05,0.0004984699789858048
0.63411,0.000126728,0.0012311817510589516,0.00034893,0.004367696097575631,4.40169e-05,0.0005035273419045016
0.63607,0.000125925,0.0012233804842031635,0.00046211,0.005784415337318874,4.33178e-05,0.0004955300507566597
0.63802,0.000127355,0.001237273151206622,0.00060196,0.007534973613322519,4.31123e-05,0.0004931792521142888
0.63998,0.00012789,0.0012424707573932305,0.00076835,0.009617743663692533,4.38318e-05,0.0005014099072149499
0.64193,0.000128425,0.0012476683635798391,0.0009649,0.012078038473478134,4.41813e-05,0.0005054079808183983
0.64388,0.000123447,0.001199306338165002,0.00119394,0.014945023582780066,4.47673e-05,0.0005121114747572271
0.64584,0.000127684,0.0012404694361325924,0.00144164,0.01804558336087161,4.29992e-05,0.000491885454905276
0.64779,0.000129062,0.001253856915245016,0.0017176,0.0214998848399275,4.37599e-05,0.0005005874136753565
0.64975,0.000128476,0.0012481638363191234,0.00199977,0.025031919367921412,4.34412e-05,0.0004969416738830275
0.6517,0.000128229,0.0012457641938367077,0.00227296,0.02845154765123522,4.38215e-05,0.0005012920812975951
0.65365,0.000126656,0.0012304822601329033,0.00253774,0.0317659046074043,4.24646e-05,0.0004857699466122761
0.65561,0.000129031,0.0012535557455407454,0.00277054,0.03467995513764133,4.37393e-05,0.0005003517618406468
0.65756,0.000129237,0.0012555570668013837,0.002961,0.037064018986391084,4.50756e-05,0.0005156382446912561
0.65952,0.000127273,0.001236476508763067,0.00310395,0.038853381199867816,4.29067e-05,0.0004908273095309728
0.66147,0.000128857,0.0012518653091361286,0.003167,0.03964260321847368,4.45205e-05,0.0005092882285044917
0.66343,0.000128692,0.001250262309097268,0.00316172,0.03957651135077758,4.36776e-05,0.0004996459502774629
0.66538,0.000128887,0.001252156763688649,0.00309167,0.03869966753787765,4.41196e-05,0.0005047021692552143
0.66733,0.000130533,0.0012681479034702522,0.00297383,0.03722461721793292,4.33487e-05,0.0004958835285087243
0.66929,0.000129402,0.001257160066840244,0.00280263,0.035081638477483704,4.43561e-05,0.000507407589590595
0.67124,0.000128569,0.0012490673454319358,0.00257153,0.03218886752586095,4.28553e-05,0.0004902393238851438
0.6732,0.000129936,0.0012623479578751022,0.00229822,0.028767737154644958,4.47467e-05,0.0005118758229225175
0.67515,0.000129124,0.0012544592546535577,0.00202917,0.025399930903956498,4.53943e-05,0.000519283984483585
0.6771,0.000132199,0.001284333346286869,0.00174391,0.021829217612481352,4.51887e-05,0.000516932041900269
0.67906,0.000129463,0.0012577526910970349,0.00146648,0.01835651555662371,4.4757e-05,0.0005119936488398723
0.68101,0.000130358,0.0012664477519138849,0.00120333,0.015062561961125967,4.43047e-05,0.000506819603944766
0.68297,0.000129535,0.0012584521820230834,0.00096996,0.012141376513353562,4.51476e-05,0.0005164618821717948
0.68492,0.000129556,0.0012586562002098473,0.00077078,0.00964816094371176,4.24955e-05,0.00048612342436434063
0.68687,0.000130338,0.0012662534488788715,0.00059567,0.0074562391724497055,4.5271e-05,0.0005178735052981625
0.68883,0.000130687,0.0012696440368398555,0.00044865,0.005615931144290564,4.47467e-05,0.0005118758229225175
0.69078,0.000129597,0.001259054521431625,0.00033176,0.0041527723535714645,4.51168e-05,0.0005161095483606755
0.69274,0.000131243,0.001275045661213228,0.00023882,0.0029894052733299287,4.51682e-05,0.0005166975340065045
0.69469,0.000129916,0.0012621536548400886,0.00016873,0.002112060764462603,4.37085e-05,0.0004999994280295274
0.69664,0.000130985,0.0012725391520615552,0.00011744,0.0014700433602707764,4.39552e-05,0.0005028215303413177
0.6986,0.000130728,0.0012700423580616332,8.052e-05,0.001007900982365488,4.47159e-05,0.0005115234891113981
0.70055,0.000131705,0.0012795340613220379,5.329e-05,0.0006670522025615606,4.45719e-05,0.0005098762141503207
0.70251,0.000130471,0.0012675455640617107,3.397e-05,0.0004252160503099308,4.43561e-05,0.000507407589590595
0.70446,0.00013331,0.001295126879881864,2.264e-05,0.0002833939175453881,4.41402e-05,0.000504937821089924
0.70641,0.000132744,0.0012896281039909844,1.302e-05,0.0001629765373869679,4.54663e-05,0.0005201076219641238
0.70837,0.000131489,0.001277435588543893,8.32e-06,0.00010414476121809315,4.48906e-05,0.0005135219539426497
0.71032,0.000131201,0.0012746376248397,4.72e-06,5.9082124152572074e-05,4.43047e-05,0.000506819603944766
0.71228,0.000130461,0.001267448412544204,2.97e-06,3.717667557905489e-05,4.36982e-05,0.0004998816021121726
0.71423,0.000129854,0.001261551315431547,1.55e-06,1.9401968736543795e-05,4.45205e-05,0.0005092882285044917
0.71618,0.000135007,0.0013116134924027515,1.04e-06,1.3018095152261644e-05,4.57746e-05,0.0005236343918981526
0.71814,0.000132425,0.0012865289705825207,5.1e-07,6.3838735842821525e-06,4.55382e-05,0.0005209301155037172
0.72009,0.00013475,0.001309116698402829,1.7e-07,2.127957861427384e-06,4.54046e-05,0.0005194018104009399
0.72205,0.000135038,0.0013119146621070222,1.5e-07,1.8776098777300447e-06,4.5271e-05,0.0005178735052981625
0.724,0.00013441,0.0013058135468076012,1e-07,1.2517399184866964e-06,4.63503e-05,0.0005302200599196267
